Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
20082D-01-02_S8.metabat.37	f__Flavobacteriaceae (UID2845)	53	548	298	15.72	2.26	0.00	777559	0	404	404	1866	1866	1924	1924	5117	5117	32.6	2.18	90.31	11	983	448	92	7	0	1	0
20082D-01-02_S8.metabat.38	k__Bacteria (UID203)	5449	104	58	33.62	1.72	0.00	2684351	0	830	830	3472	3472	3234	3234	14942	14942	54.6	2.72	89.44	11	3184	81	22	1	0	0	0
20082D-01-02_S8.metabat.39	k__Bacteria (UID203)	5449	104	58	20.69	0.00	0.00	976999	0	295	295	3438	3438	3311	3311	10427	10427	45.5	1.78	91.07	11	1122	92	12	0	0	0	0
20082D-01-02_S8.metabat.4	root (UID1)	5656	56	24	0.00	0.00	0.00	202554	0	9	9	32196	32196	22506	22506	81455	81455	59.2	1.49	89.44	11	228	56	0	0	0	0	0
20082D-01-02_S8.metabat.41	k__Bacteria (UID203)	5449	99	53	9.43	0.00	0.00	261301	0	104	104	2466	2466	2512	2512	8217	8217	31.5	2.40	93.45	11	341	93	6	0	0	0	0
20082D-01-02_S8.metabat.5	k__Bacteria (UID203)	5449	104	58	5.17	0.00	0.00	345635	0	184	184	1781	1781	1878	1878	4709	4709	66.3	2.22	91.66	11	474	98	6	0	0	0	0
20082D-01-03_S9.metabat.11	k__Bacteria (UID203)	5449	104	58	5.17	0.00	0.00	237915	0	97	97	2541	2541	2452	2452	6292	6292	38.3	1.64	89.87	11	318	101	3	0	0	0	0
20082D-01-03_S9.metabat.13	c__Gammaproteobacteria (UID4443)	356	451	270	38.71	2.78	52.94	939516	0	65	65	28552	28552	14454	14454	101153	101153	44.6	1.24	91.88	11	894	263	171	17	0	0	0
20082D-01-03_S9.metabat.14	k__Archaea (UID2)	207	149	107	28.89	0.00	0.00	807031	0	205	205	4499	4499	3936	3936	12316	12316	37.9	1.41	94.83	11	782	110	39	0	0	0	0
20082D-01-03_S9.metabat.16	root (UID1)	5656	56	24	0.00	0.00	0.00	248122	0	76	76	3554	3554	3264	3264	8592	8592	36.3	1.48	95.86	11	393	56	0	0	0	0	0
20082D-01-03_S9.metabat.18	root (UID1)	5656	56	24	4.17	0.00	0.00	364508	0	73	73	6943	6943	4993	4993	36078	36078	36.4	1.46	95.19	11	395	55	1	0	0	0	0
20082D-01-03_S9.metabat.20	k__Bacteria (UID203)	5449	104	58	24.45	0.00	0.00	377742	0	138	138	2889	2889	2737	2737	9131	9131	38.3	1.32	92.06	11	433	85	19	0	0	0	0
20082D-01-03_S9.metabat.21	k__Bacteria (UID203)	5449	104	58	26.88	4.31	0.00	2793585	0	790	790	3992	3992	3536	3536	21433	21433	40.7	1.70	90.15	11	3069	84	16	4	0	0	0
20082D-01-03_S9.metabat.24	k__Archaea (UID2)	207	149	107	29.44	0.93	100.00	882866	0	216	216	4630	4630	4087	4087	15142	15142	46.3	1.26	95.09	11	856	110	38	1	0	0	0
20082D-01-03_S9.metabat.30	c__Gammaproteobacteria (UID4201)	1164	275	174	27.20	0.00	0.00	488357	0	111	111	4978	4978	4399	4399	21421	21421	38.7	1.47	97.31	11	567	207	68	0	0	0	0
20082D-01-03_S9.metabat.32	k__Archaea (UID2)	207	149	107	8.30	0.00	0.00	387354	0	20	20	33068	33068	19367	19367	48426	48426	38.8	1.50	73.90	4	407	132	17	0	0	0	0
20082D-01-03_S9.metabat.37	k__Bacteria (UID203)	5449	104	58	36.21	1.72	0.00	404460	0	106	106	4411	4411	3815	3815	12877	12877	32.0	1.15	95.97	11	406	81	22	1	0	0	0
20082D-01-03_S9.metabat.38	k__Bacteria (UID203)	5449	102	58	15.52	0.00	0.00	631248	0	178	178	3826	3826	3546	3546	26440	26440	38.0	1.45	96.57	11	735	93	9	0	0	0	0
20082D-01-03_S9.metabat.39	k__Bacteria (UID203)	5449	104	58	22.76	1.72	100.00	1761102	0	289	289	7320	7320	6093	6093	24953	24953	49.3	1.52	87.82	11	1782	90	13	1	0	0	0
20082D-01-03_S9.metabat.40	root (UID1)	5656	56	24	0.00	0.00	0.00	280001	0	75	75	3991	3991	3733	3733	15469	15469	35.4	1.31	94.18	11	488	56	0	0	0	0	0
20082D-01-03_S9.metabat.43	k__Archaea (UID2)	207	149	107	21.96	0.00	0.00	755816	0	194	194	4127	4127	3895	3895	15159	15159	45.8	1.33	94.78	11	770	124	25	0	0	0	0
20082D-01-03_S9.metabat.44	root (UID1)	5656	56	24	0.00	0.00	0.00	251487	0	60	60	5688	5688	4191	4191	14713	14713	34.0	1.32	95.32	11	309	56	0	0	0	0	0
20082D-01-03_S9.metabat.45	root (UID1)	5656	56	24	0.00	0.00	0.00	230700	0	56	56	5473	5473	4119	4119	13274	13274	37.9	1.46	99.10	11	157	56	0	0	0	0	0
20082D-01-03_S9.metabat.8	k__Bacteria (UID203)	5449	104	58	12.93	0.00	0.00	2022430	0	295	295	8325	8325	6855	6855	55653	55653	49.1	1.17	88.39	11	2038	95	9	0	0	0	0
20082D-01-04_S10.metabat.13	c__Gammaproteobacteria (UID4444)	263	506	232	24.83	0.64	41.67	2016245	0	278	278	9289	9289	7252	7252	50391	50391	49.1	1.26	87.80	11	2002	383	111	12	0	0	0
20082D-01-04_S10.metabat.18	root (UID1)	5656	56	24	0.00	0.00	0.00	298234	0	86	86	3569	3569	3467	3467	10245	10245	48.1	1.05	88.97	11	333	56	0	0	0	0	0
20082D-01-04_S10.metabat.19	k__Archaea (UID2)	207	149	107	8.30	0.00	0.00	387630	0	24	24	35074	35074	16151	16151	66108	66108	38.7	1.37	73.16	4	396	132	17	0	0	0	0
20082D-01-04_S10.metabat.2	k__Bacteria (UID203)	5449	102	56	17.86	0.00	0.00	499072	0	102	102	6371	6371	4892	4892	22642	22642	36.3	1.54	95.24	11	558	91	11	0	0	0	0
20082D-01-04_S10.metabat.24	c__Gammaproteobacteria (UID4443)	356	451	270	23.35	0.93	25.00	501014	0	118	118	5007	5007	4245	4245	17090	17090	38.5	1.31	97.17	11	570	348	99	4	0	0	0
20082D-01-04_S10.metabat.26	k__Bacteria (UID203)	5449	102	58	19.83	0.86	100.00	309669	0	60	60	5868	5868	5161	5161	17446	17446	35.1	0.97	95.71	11	332	89	12	1	0	0	0
20082D-01-04_S10.metabat.35	c__Alphaproteobacteria (UID3337)	468	388	250	36.16	8.08	17.65	3042579	0	764	764	4506	4506	3982	3982	33568	33568	40.7	1.64	90.92	11	3194	238	118	31	1	0	0
20082D-01-04_S10.metabat.36	k__Bacteria (UID203)	5449	104	58	34.48	0.00	0.00	1738479	0	261	261	7881	7881	6660	6660	40074	40074	49.3	1.37	88.30	11	1751	84	20	0	0	0	0
20082D-01-04_S10.metabat.4	k__Archaea (UID2)	207	149	107	23.68	0.00	0.00	630645	0	162	162	4615	4615	3892	3892	12463	12463	37.9	1.44	95.37	11	645	117	32	0	0	0	0
20082D-01-04_S10.metabat.40	k__Bacteria (UID203)	5449	102	58	19.83	0.00	0.00	509554	0	129	129	4433	4433	3950	3950	14414	14414	38.0	1.36	96.48	11	592	90	12	0	0	0	0
20082D-01-04_S10.metabat.42	root (UID1)	5656	56	24	0.00	0.00	0.00	285238	0	77	77	4090	4090	3704	3704	10064	10064	54.5	1.26	88.56	11	353	56	0	0	0	0	0
20082D-01-04_S10.metabat.8	p__Euryarchaeota (UID3)	148	188	125	42.93	0.00	0.00	1124707	0	236	236	5602	5602	4765	4765	21034	21034	46.1	1.13	94.59	11	1090	103	85	0	0	0	0
20082D-01-05_S0.metabat.13	root (UID1)	5656	56	24	0.00	0.00	0.00	228633	0	21	21	21081	21081	10887	10887	34455	34455	45.1	2.12	84.98	11	252	56	0	0	0	0	0
20082D-01-05_S0.metabat.14	k__Bacteria (UID203)	5449	104	58	4.31	0.00	0.00	214325	0	88	88	2435	2435	2435	2435	4970	4970	41.7	1.17	91.21	11	304	101	3	0	0	0	0
20082D-01-05_S0.metabat.19	root (UID1)	5656	56	24	4.17	4.17	0.00	309763	0	112	112	2855	2855	2765	2765	9237	9237	37.8	1.75	86.81	11	398	55	0	1	0	0	0
20082D-01-05_S0.metabat.23	root (UID1)	5656	56	24	8.33	0.00	0.00	580275	0	222	222	2615	2615	2613	2613	8855	8855	52.9	1.57	91.10	11	698	54	2	0	0	0	0
20082D-01-05_S0.metabat.29	k__Archaea (UID2)	207	149	107	3.51	0.00	0.00	422931	0	124	124	3946	3946	3410	3410	11800	11800	30.3	2.94	91.22	11	473	132	17	0	0	0	0
20082D-01-05_S0.metabat.3	k__Bacteria (UID203)	5449	104	58	9.06	0.00	0.00	603024	0	243	243	2457	2457	2481	2481	6815	6815	49.4	1.53	90.85	11	779	91	13	0	0	0	0
20082D-01-05_S0.metabat.31	k__Bacteria (UID203)	5449	104	58	49.37	1.72	0.00	1370161	0	504	504	2819	2819	2718	2718	8207	8207	39.9	1.47	94.32	11	1680	64	39	1	0	0	0
20082D-01-05_S0.metabat.32	root (UID1)	5656	56	24	0.00	0.00	0.00	304452	0	56	56	5567	5567	5436	5436	56917	56917	49.1	1.47	88.51	11	319	56	0	0	0	0	0
20082D-01-05_S0.metabat.33	root (UID1)	5656	56	24	0.00	0.00	0.00	230989	0	24	24	23122	23122	9624	9624	71795	71795	44.8	1.66	84.14	11	204	56	0	0	0	0	0
20082D-01-05_S0.metabat.38	k__Archaea (UID2)	207	149	107	5.85	0.50	0.00	383764	0	52	52	9305	9305	7380	7380	23936	23936	28.9	1.96	90.95	11	461	130	12	7	0	0	0
20082D-01-05_S0.metabat.39	k__Bacteria (UID203)	5449	104	58	33.62	0.00	0.00	1091468	0	289	289	4599	4599	3776	3776	15478	15478	58.7	1.37	93.08	11	1357	82	22	0	0	0	0
20082D-01-05_S0.metabat.6	k__Bacteria (UID203)	5449	104	58	10.34	0.00	0.00	443867	0	225	225	1867	1867	1972	1972	4893	4893	64.0	1.76	92.13	11	638	96	8	0	0	0	0
