Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
20082D-01-02_S8.metabat.6	c__Gammaproteobacteria (UID4444)	263	505	231	98.41	1.78	0.00	3216541	0	53	53	216980	216980	60689	60689	383206	383206	42.5	1.24	89.74	11	3020	25	472	8	0	0	0
20082D-01-02_S8.metabat.7	c__Alphaproteobacteria (UID3422)	26	529	308	99.51	0.81	0.00	3605575	0	30	30	340488	340488	120185	120185	884900	884900	60.1	1.39	91.59	11	3455	2	524	3	0	0	0
20082D-01-02_S8.metabat.8	o__Sphingomonadales (UID3310)	26	569	293	99.54	0.90	25.00	3648304	0	35	35	191835	191835	104237	104237	536006	536006	56.8	1.33	90.57	11	3444	2	563	4	0	0	0
20082D-01-03_S9.metabat.10	k__Bacteria (UID1453)	901	171	117	97.86	3.25	0.00	2567159	0	84	84	57023	57023	30561	30561	392828	392828	47.5	1.40	91.81	11	2565	3	161	7	0	0	0
20082D-01-03_S9.metabat.29	c__Gammaproteobacteria (UID4444)	263	503	230	94.49	0.80	0.00	3027129	0	182	182	27515	27515	16632	16632	107087	107087	52.3	1.48	89.67	11	2881	24	475	4	0	0	0
20082D-01-03_S9.metabat.33	k__Bacteria (UID2495)	2993	147	91	90.81	1.40	0.00	2686368	0	219	219	19877	19877	12266	12266	63146	63146	38.7	1.52	91.10	11	2524	12	130	5	0	0	0
20082D-01-03_S9.metabat.4	o__Actinomycetales (UID1663)	488	310	185	97.63	0.00	0.00	2110368	0	8	8	464777	464777	263796	263796	761139	761139	55.0	0.84	92.68	11	1980	6	304	0	0	0	0
20082D-01-04_S10.metabat.27	k__Bacteria (UID1453)	901	171	117	97.44	1.71	0.00	2600255	0	42	42	153800	153800	61910	61910	383669	383669	47.5	1.42	91.81	11	2558	3	166	2	0	0	0
20082D-01-04_S10.metabat.29	c__Gammaproteobacteria (UID4444)	263	503	230	94.71	0.54	0.00	2900776	0	163	163	30840	30840	17796	17796	107452	107452	52.3	1.55	89.85	11	2773	39	461	3	0	0	0
20082D-01-05_S0.metabat.10	p__Bacteroidetes (UID2591)	364	302	202	95.13	1.44	0.00	6429179	0	621	621	14278	14278	10352	10352	57813	57813	35.4	1.21	87.07	11	5217	23	274	5	0	0	0
20082D-01-05_S0.metabat.12	c__Gammaproteobacteria (UID4267)	119	541	283	97.53	0.47	0.00	2905858	0	26	26	180167	180167	111763	111763	355904	355904	45.4	0.87	91.84	11	2776	63	473	5	0	0	0
20082D-01-05_S0.metabat.16	c__Gammaproteobacteria (UID4267)	119	544	284	97.16	1.82	14.29	2956213	0	75	75	57238	57238	39416	39416	153438	153438	50.6	0.99	92.06	11	2755	11	526	7	0	0	0
20082D-01-05_S0.metabat.18	f__Rhodobacteraceae (UID3356)	67	617	330	93.55	3.37	9.52	3125258	0	139	139	36691	36691	22483	22483	143334	143334	60.5	1.23	92.43	11	3164	71	525	21	0	0	0
20082D-01-05_S0.metabat.2	f__Rhodobacteraceae (UID3360)	56	582	313	93.92	4.80	34.48	4292977	0	185	185	40041	40041	23205	23205	147255	147255	57.8	1.70	91.48	11	4283	43	510	29	0	0	0
20082D-01-05_S0.metabat.22	c__Gammaproteobacteria (UID4274)	112	581	290	96.67	2.36	11.11	2372120	0	94	94	49096	49096	25235	25235	159256	159256	41.6	1.59	93.43	11	2388	19	555	6	1	0	0
20082D-01-05_S0.metabat.24	c__Gammaproteobacteria (UID4761)	52	693	297	95.34	0.97	28.57	4049455	0	213	213	34243	34243	19011	19011	144160	144160	37.6	1.47	86.05	11	3525	31	655	7	0	0	0
20082D-01-05_S0.metabat.26	s__algicola (UID2846)	47	571	303	98.81	0.60	0.00	4394958	0	82	82	153908	153908	53597	53597	410757	410757	33.9	1.26	91.98	11	3952	10	556	5	0	0	0
20082D-01-05_S0.metabat.28	k__Bacteria (UID2569)	434	278	186	100.00	0.54	0.00	2992630	0	40	40	179390	179390	74815	74815	325473	325473	36.4	1.00	93.39	11	2660	0	277	1	0	0	0
20082D-01-05_S0.metabat.34	k__Bacteria (UID2569)	434	277	185	92.43	1.10	100.00	4698382	0	685	685	9728	9728	6858	6858	52192	52192	39.8	1.09	92.84	11	4460	16	258	3	0	0	0
20082D-01-05_S0.metabat.5	f__Rhodobacteraceae (UID3361)	46	654	332	98.02	2.61	21.43	4232861	0	352	352	19411	19411	12025	12025	92250	92250	61.0	2.09	90.78	11	4345	16	624	14	0	0	0
